timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
256,5.019690990447998,0,0.0,nan,0.0,0.0,nan,0.0,nan,0.0,nan,0.0,0.0,nan,0.0,nan
512,9.866032123565674,1,0.0,0.0,0.0,500,500.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
768,14.06114149093628,1,0.0,0.0,0.0,500,500.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
1024,18.346330404281616,2,0.0,0.0,0.0,500,500.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
1280,23.144184589385986,2,0.0,0.0,0.0,500,500.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
1536,28.010103225708008,3,0.0,0.0,0.0,500,500.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
1792,32.57831287384033,3,0.0,0.0,0.0,500,500.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
2048,37.80947279930115,4,0.0,0.0,0.0,500,500.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
2304,42.50445485115051,4,0.0,0.0,0.0,500,500.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
2560,47.392372846603394,5,0.0,0.0,0.0,500,500.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
2816,52.18178701400757,5,0.0,0.0,0.0,500,500.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
3072,56.78168535232544,6,0.0,0.0,0.0,500,500.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
3328,60.98343348503113,6,0.0,0.0,0.0,500,500.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
3584,65.28521633148193,7,0.0,0.0,0.0,500,500.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
3840,69.9145655632019,7,0.0,0.0,0.0,500,500.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
4096,74.51056456565857,8,0.0,0.0,0.0,500,500.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
4352,79.21507859230042,8,0.0,0.0,0.0,500,500.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
4608,84.20229649543762,9,0.0,0.0,0.0,500,500.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
4864,89.46635627746582,9,0.0,0.0,0.0,500,500.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
5120,95.51893043518066,10,0.0,0.0,0.0,500,500.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
5376,100.82027220726013,11,10.0,0.90909094,0.0,500,466.54545454545456,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
5632,105.91968584060669,12,10.0,0.8333333,0.0,500,469.3333333333333,0,0.08333333333333333,0.0,nan,0.0,0.0,nan,0.0,nan
5888,111.18842768669128,13,10.0,1.5384616,0.0,500,439.53846153846155,0,0.07692307692307693,0.0,nan,0.0,0.0,nan,0.0,nan
6144,116.41486525535583,13,10.0,1.5384616,0.0,500,439.53846153846155,0,0.07692307692307693,0.0,nan,0.0,0.0,nan,0.0,nan
6400,121.51665139198303,14,10.0,1.4285715,0.0,500,443.85714285714283,0,0.07142857142857142,0.0,nan,0.0,0.0,nan,0.0,nan
6656,126.5333366394043,14,10.0,1.4285715,0.0,500,443.85714285714283,0,0.07142857142857142,0.0,nan,0.0,0.0,nan,0.0,nan
6912,131.28103876113892,15,10.0,1.3333334,0.0,500,447.6,0,0.06666666666666667,0.0,nan,0.0,0.0,nan,0.0,nan
7168,135.815922498703,15,10.0,1.3333334,0.0,500,447.6,0,0.06666666666666667,0.0,nan,0.0,0.0,nan,0.0,nan
7424,140.39836478233337,16,10.0,1.25,0.0,500,450.875,0,0.0625,0.0,nan,0.0,0.0,nan,0.0,nan
7680,145.0087571144104,16,10.0,1.25,0.0,500,450.875,0,0.0625,0.0,nan,0.0,0.0,nan,0.0,nan
7936,150.0235035419464,18,10.0,1.6666666,0.0,500,429.8333333333333,0,0.05555555555555555,0.0,nan,0.0,0.0,nan,0.0,nan
8192,156.00617933273315,18,10.0,1.6666666,0.0,500,429.8333333333333,0,0.05555555555555555,0.0,nan,0.0,0.0,nan,0.0,nan
8448,160.54829955101013,20,10.0,2.0,0.0,500,412.9,0,0.05,0.0,nan,0.0,0.0,nan,0.0,nan
8704,165.01034331321716,20,10.0,2.0,0.0,500,412.9,0,0.05,0.0,nan,0.0,0.0,nan,0.0,nan
8960,169.9011356830597,22,10.0,2.2727273,0.0,500,400.5,0,0.045454545454545456,0.0,nan,0.0,0.0,nan,0.0,nan
9216,175.11471033096313,22,10.0,2.2727273,0.0,500,400.5,0,0.045454545454545456,0.0,nan,0.0,0.0,nan,0.0,nan
9472,180.09497475624084,23,10.0,2.173913,0.0,500,404.82608695652175,0,0.043478260869565216,0.0,nan,0.0,0.0,nan,0.0,nan
9728,184.7677845954895,23,10.0,2.173913,0.0,500,404.82608695652175,0,0.043478260869565216,0.0,nan,0.0,0.0,nan,0.0,nan
9984,189.44136810302734,24,10.0,2.0833333,0.0,500,408.7916666666667,0,0.041666666666666664,0.0,nan,0.0,0.0,nan,0.0,nan
10240,194.09909009933472,24,10.0,2.0833333,0.0,500,408.7916666666667,0,0.041666666666666664,0.0,nan,0.0,0.0,nan,0.0,nan
