timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
256,7.077965259552002,0,0.0,nan,0.0,0.0,nan,0.0,nan,0.0,nan,0.0,0.0,nan,0.0,nan
512,12.98782753944397,1,0.0,0.0,0.0,500,500.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
768,18.64483904838562,1,0.0,0.0,0.0,500,500.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
1024,24.215025186538696,2,0.0,0.0,0.0,500,500.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
1280,28.664500951766968,2,0.0,0.0,0.0,500,500.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
1536,33.44845986366272,3,0.0,0.0,0.0,500,500.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
1792,39.00250554084778,3,0.0,0.0,0.0,500,500.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
2048,44.802964210510254,4,0.0,0.0,0.0,500,500.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
2304,50.35696458816528,4,0.0,0.0,0.0,500,500.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
2560,56.0783109664917,5,0.0,0.0,0.0,500,500.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
2816,62.208460330963135,5,0.0,0.0,0.0,500,500.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
3072,68.3818747997284,7,10.0,1.4285715,0.0,500,431.2857142857143,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
3328,74.33419275283813,8,10.0,2.5,0.0,500,390.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
3584,80.2009551525116,8,10.0,2.5,0.0,500,390.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
3840,86.24446725845337,11,10.0,3.6363637,0.0,500,342.90909090909093,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
4096,92.60187697410583,11,10.0,3.6363637,0.0,500,342.90909090909093,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
4352,98.6962742805481,14,10.0,4.285714,0.0,500,306.57142857142856,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
4608,104.70369744300842,15,10.0,4.6666665,0.0,500,293.4,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
4864,110.80818009376526,15,10.0,4.6666665,0.0,500,293.4,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
5120,116.12936115264893,16,10.0,4.375,0.0,500,306.3125,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
