timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
256,3.989344358444214,1,10.0,10.0,0.0,4,4.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
512,6.75385046005249,2,10.0,5.0,0.0,500,252.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
768,9.397731304168701,2,10.0,5.0,0.0,500,252.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
1024,12.151567220687866,3,10.0,3.3333333,0.0,500,334.6666666666667,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
1280,14.890405178070068,3,10.0,3.3333333,0.0,500,334.6666666666667,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
1536,17.658318758010864,4,10.0,2.5,0.0,500,376.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
1792,20.163651704788208,4,10.0,2.5,0.0,500,376.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
2048,22.70133113861084,5,10.0,2.0,0.0,500,400.8,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
2304,25.452957153320312,5,10.0,2.0,0.0,500,400.8,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
2560,28.167699575424194,6,10.0,1.6666666,0.0,500,417.3333333333333,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
2816,30.978338956832886,6,10.0,1.6666666,0.0,500,417.3333333333333,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
3072,33.189507484436035,7,10.0,2.857143,0.0,500,408.57142857142856,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
3328,35.34871864318848,7,10.0,2.857143,0.0,500,408.57142857142856,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
3584,37.961684465408325,8,10.0,2.5,0.0,500,420.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
3840,40.66678047180176,8,10.0,2.5,0.0,500,420.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
4096,43.3993239402771,9,10.0,2.2222223,0.0,500,428.8888888888889,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
4352,46.17845606803894,9,10.0,2.2222223,0.0,500,428.8888888888889,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
4608,48.57886481285095,10,10.0,2.0,0.0,500,436.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
4864,51.05782771110535,11,10.0,1.8181819,0.0,500,441.8181818181818,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
5120,53.79707407951355,11,10.0,1.8181819,0.0,500,441.8181818181818,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
5376,56.57741713523865,12,10.0,1.6666666,0.0,500,446.6666666666667,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
5632,59.369099617004395,12,10.0,1.6666666,0.0,500,446.6666666666667,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
5888,61.95904493331909,13,10.0,2.3076923,0.0,500,438.61538461538464,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
6144,64.46297025680542,13,10.0,2.3076923,0.0,500,438.61538461538464,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
6400,67.08535432815552,14,10.0,2.142857,0.0,500,443.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
6656,69.7980363368988,14,10.0,2.142857,0.0,500,443.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
6912,72.65733122825623,15,10.0,2.0,0.0,500,446.8,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
7168,75.4771420955658,15,10.0,2.0,0.0,500,446.8,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
7424,78.16804528236389,16,10.0,1.875,0.0,500,450.125,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
7680,80.86365699768066,16,10.0,1.875,0.0,500,450.125,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
